,Vehicle Class,Coverage,Renew Offer Type,Employment Status,Marital Status,Education,Number of Policies,Monthly Premium Auto,Total Claim Amount,Income,Customer Lifetime Value,Gender,Location Code,Policy Duration (Months)
1246,Four-Door Car,Basic,Offer2,Employed,Married,College,3,67.0,321.6,74092.0,5317.807221,M,Suburban,72
2504,Four-Door Car,Extended,Offer1,Employed,Married,Bachelor,9,88.0,142.062768,41837.0,6966.694527,F,Rural,93
1544,SUV,Basic,Offer4,Employed,Single,High School or Below,1,108.0,406.348084,31842.0,4110.620178,M,Urban,31
1485,Four-Door Car,Basic,Offer2,Employed,Married,Doctor,6,72.0,345.6,66156.0,5762.472144,M,Suburban,66
3542,Four-Door Car,Basic,Offer4,Employed,Married,Bachelor,8,68.0,42.078345,70051.0,5395.831967,M,Rural,69
220,SUV,Basic,Offer1,Employed,Divorced,Bachelor,2,118.0,232.674417,90844.0,14134.3474,F,Rural,98
567,Four-Door Car,Basic,Offer1,Medical Leave,Married,Master,2,62.0,91.355165,16154.0,18534.61157,M,Rural,45
4262,Sports Car,Basic,Offer4,Employed,Married,Master,3,100.0,215.226476,63834.0,8000.545061,F,Rural,19
4732,Sports Car,Basic,Offer4,Employed,Married,High School or Below,2,116.0,169.226996,76912.0,27934.62373,F,Rural,55
703,SUV,Extended,Offer4,Employed,Single,Master,2,126.0,750.58561,25358.0,14616.36817,M,Suburban,13
4527,Four-Door Car,Premium,Offer1,Employed,Married,College,2,102.0,20.405935,90016.0,11785.04181,M,Rural,34
1762,Four-Door Car,Basic,Offer2,Employed,Divorced,Bachelor,2,73.0,350.4,29540.0,8697.882675,M,Suburban,23
828,Luxury Car,Basic,Offer4,Employed,Married,High School or Below,1,192.0,921.6,67332.0,7720.155885,F,Suburban,10
1429,Four-Door Car,Basic,Offer2,Employed,Married,College,2,74.0,355.2,41463.0,17569.15979,M,Suburban,78
3634,Four-Door Car,Basic,Offer1,Employed,Single,Master,8,61.0,254.308991,35039.0,4739.861234,M,Urban,87
3753,Four-Door Car,Extended,Offer3,Employed,Married,Master,1,79.0,379.2,77882.0,3221.788294,F,Suburban,36
1061,Two-Door Car,Extended,Offer3,Employed,Married,Doctor,1,99.0,475.2,93284.0,4013.959621,F,Suburban,26
1825,Four-Door Car,Basic,Offer1,Employed,Married,College,9,67.0,321.6,55350.0,5380.898636,F,Suburban,13
1629,SUV,Extended,Offer3,Employed,Married,College,5,139.0,778.463303,30720.0,10018.66117,M,Suburban,24
2637,Two-Door Car,Basic,Offer1,Disabled,Married,College,4,72.0,345.6,22679.0,5570.17755,F,Suburban,32
444,Two-Door Car,Extended,Offer4,Employed,Married,Bachelor,3,84.0,604.8,31517.0,6685.797205,F,Suburban,74
75,Four-Door Car,Basic,Offer4,Employed,Married,College,1,74.0,355.2,36845.0,2903.024168,M,Suburban,33
3730,SUV,Basic,Offer1,Employed,Single,Master,1,118.0,88.17994,85140.0,4554.557242,F,Rural,11
1124,Four-Door Car,Basic,Offer3,Employed,Divorced,Doctor,1,73.0,327.912134,64640.0,2862.729074,F,Urban,94
3162,Two-Door Car,Basic,Offer2,Disabled,Married,Doctor,1,62.0,196.879475,18661.0,2470.441268,F,Urban,74
1857,Four-Door Car,Basic,Offer2,Employed,Single,Bachelor,6,72.0,471.443077,74015.0,5555.830205,M,Suburban,61
5312,Four-Door Car,Premium,Offer2,Employed,Divorced,College,8,118.0,58.776508,96269.0,9555.169159,F,Rural,52
5109,Four-Door Car,Extended,Offer1,Employed,Single,High School or Below,3,80.0,274.159702,86687.0,6342.473656,M,Urban,82
1942,Four-Door Car,Basic,Offer1,Employed,Married,College,3,61.0,352.089317,95765.0,4935.642812,F,Suburban,80
2749,Four-Door Car,Extended,Offer4,Employed,Single,College,2,83.0,42.693918,76456.0,13027.41984,F,Rural,34
2580,Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,3,61.0,152.496995,36839.0,4862.908979,F,Rural,93
4043,Two-Door Car,Basic,Offer1,Employed,Married,Master,1,61.0,262.842655,50979.0,2456.816647,F,Urban,45
390,Four-Door Car,Basic,Offer2,Employed,Married,College,7,72.0,308.981664,51148.0,5710.333115,M,Urban,1
1547,Sports Car,Extended,Offer1,Employed,Divorced,High School or Below,3,133.0,638.4,28363.0,10455.48983,F,Suburban,35
52,Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,2,66.0,316.8,51972.0,7814.604545,M,Suburban,22
1778,Four-Door Car,Basic,Offer1,Employed,Married,High School or Below,3,72.0,19.281882,32224.0,5720.897922,F,Rural,21
2443,Four-Door Car,Premium,Offer3,Medical Leave,Divorced,Bachelor,8,102.0,1106.913309,16707.0,7614.669735,M,Suburban,74
589,Two-Door Car,Extended,Offer1,Employed,Married,High School or Below,1,87.0,490.638202,35033.0,3479.760165,M,Suburban,53
1331,SUV,Basic,Offer3,Employed,Single,High School or Below,3,112.0,537.6,53055.0,8548.30415,F,Suburban,30
154,SUV,Basic,Offer1,Retired,Divorced,College,3,106.0,508.8,21073.0,7805.31287,F,Suburban,54
4297,SUV,Basic,Offer4,Employed,Married,College,1,103.0,71.647924,75272.0,4122.569957,F,Rural,10
1598,Four-Door Car,Basic,Offer2,Employed,Divorced,Bachelor,1,74.0,48.181699,64431.0,2941.828805,F,Rural,49
113,Sports Car,Basic,Offer2,Employed,Married,College,4,109.0,400.181882,62464.0,8658.863813,M,Urban,45
5330,SUV,Extended,Offer1,Employed,Married,College,1,139.0,236.739322,51489.0,5568.656492,F,Rural,10
1112,Two-Door Car,Extended,Offer1,Employed,Divorced,High School or Below,7,95.0,91.674854,76771.0,7408.836056,M,Rural,82
